"","x"
"1414",220
"1415",365
"1416",550
"1417",200
"1418",300
"1419",385
"1420",390
"1421",330
"1422",270
"1423",360
"1424",260
"1425",270
"1426",230
"1427",500
"1428",270
"1429",225
"1430",330
"1431",270
"1432",340
"1433",360
"1434",390
"1435",300
"1436",260
"1437",260
"1438",390
"1439",550
"1440",200
"1441",450
"1442",260
"1443",320
"1444",275
"1445",400
"1446",190
"1447",350
"1448",230
"1449",215
"1450",450
"1451",320
"1452",345
"1453",360
"1454",230
"1455",320
"1456",360
"1457",190
"1458",470
"1459",205
"1460",385
"1461",260
"1462",390
"1463",290
"1464",365
"1465",285
"1466",265
"1467",290
"1468",420
"1469",190
"1470",170
"1471",245
"1472",270
"1473",490
"1474",275
"1475",230
"1476",300
"1477",260
"1478",550
"1479",230
"1480",390
"1481",275
"1482",260
"1483",200
"1484",390
"1485",450
"1486",415
"1487",350
"1488",270
"1489",300
"1490",360
"1491",360
"1492",500
"1493",350
"1494",260
"1495",320
"1496",350
"1497",300
"1498",380
"1499",360
"1500",275
"1501",190
"1502",360
"1503",270
"1504",585
"1505",215
"1506",380
"1507",190
"1508",380
"1509",415
"1510",350
"1511",300
"1512",450
"1513",415
"1514",450
"1515",320
"1516",450
"1517",410
"1518",230
"1519",260
"1520",420
"1521",230
"1522",355
"1523",170
"1524",350
"1525",230
"1526",360
"1527",490
"1528",290
"1529",450
"1530",310
"1531",195
"1532",340
"1533",550
"1534",270
"1535",490
"1536",270
"1537",275
"1538",300
"1539",200
"1540",295
"1541",385
"1542",415
"1543",205
"1544",310
"1545",395
"1546",345
"1547",245
"1548",370
"1549",380
"1550",300
"1551",290
"1552",340
"1553",350
"1554",450
"1555",490
"1556",385
"1557",370
"1558",300
"1559",380
"1560",425
"1561",365
"1562",230
"1563",360
"1564",265
"1565",210
"1566",300
"1567",380
"1568",200
"1569",550
"1570",285
"1571",320
"1572",450
"1573",370
"1574",410
"1575",450
"1576",245
"1577",275
"1578",365
"1579",490
"1580",640
"1581",170
"1582",190
"1583",420
"1584",410
"1585",450
"1586",510
"1587",380
"1588",300
"1589",550
"1590",280
"1591",325
"1592",270
"1593",265
"1594",190
"1595",175
"1596",320
"1597",300
"1598",200
"1599",180
"1600",380
"1601",550
"1602",320
"1603",260
"1604",260
"1605",380
"1606",170
"1607",370
"1608",330
"1609",260
"1610",470
"1611",195
"1612",620
"1613",230
"1614",420
"1615",420
"1616",295
"1617",350
"1618",380
"1619",280
"1620",280
"1621",415
"1622",260
"1623",390
"1624",450
"1625",360
"1626",350
"1627",350
"1628",260
"1629",350
"1630",390
"1631",385
"1632",420
"1633",220
"1634",225
"1635",260
"1636",345
"1637",230
"1638",410
"1639",270
"1640",410
"1641",435
"1642",170
"1643",280
"1644",415
"1645",325
"1646",275
"1647",195
"1648",490
"1649",550
"1650",285
"1651",325
"1652",310
"1653",260
"1654",190
"1655",520
"1656",170
"1657",275
"1658",410
"1659",390
"1660",320
"1661",215
"1662",300
"1663",320
"1664",380
"1665",520
"1666",245
"1667",385
"1668",380
"1669",320
"1670",390
"1671",375
"1672",300
"1673",345
"1674",630
"1675",300
"1676",230
"1677",370
"1678",380
"1679",415
"1680",350
"1681",245
"1682",350
"1683",370
"1684",440
"1685",420
"1686",270
"1687",230
"1688",395
"1689",355
"1690",300
"1691",270
"1692",355
"1693",215
"1694",550
"1695",440
"1696",330
"1697",260
"1698",225
"1699",355
"1700",350
"1701",390
"1702",170
"1703",300
"1704",295
"1705",350
"1706",390
"1707",175
"1708",585
"1709",285
"1710",350
"1711",320
"1712",350
"1713",330
"1714",390
"1715",415
"1716",230
"1717",350
"1718",390
"1719",260
"1720",360
"1721",410
"1722",370
"1723",500
"1724",230
"1725",440
"1726",400
"1727",370
"1728",300
"1729",170
"1730",230
"1731",405
"1732",365
"1733",415
"1734",440
"1735",260
"1736",405
"1737",345
"1738",390
"1739",405
"1740",260
"1741",390
"1742",315
"1743",230
"1744",300
"1745",365
"1746",340
"1747",340
"1748",490
"1749",260
"1750",270
"1751",190
"1752",310
"1753",205
"1754",270
"1755",500
"1756",345
"1757",165
"1758",225
"1759",360
"1760",350
"1761",300
"1762",310
"1763",365
"1764",350
"1765",350
"1766",310
"1767",380
"1768",270
"1769",195
"1770",490
"1771",370
"1772",425
"1773",390
"1774",260
"1775",300
"1776",530
"1777",310
"1778",300
"1779",320
"1780",350
"1781",270
"1782",410
"1783",210
"1784",195
"1785",220
"1786",380
"1787",350
"1788",260
"1789",370
"1790",380
"1791",450
"1792",300
"1793",290
"1794",450
"1795",420
"1796",200
"1797",420
"1798",355
"1799",410
"1800",450
"1801",260
"1802",345
"1803",170
"1804",415
"1805",620
"1806",310
"1807",300
"1808",450
"1809",450
"1810",390
"1811",410
"1812",350
"1813",360
"1814",490
"1815",360
"1816",220
"1817",440
"1818",455
"1819",320
"1820",215
"1821",180
"1822",440
"1823",265
"1824",265
"1825",270
"1826",425
"1827",345
"1828",345
"1829",375
"1830",190
"1831",195
"1832",190
"1833",260
"1834",385
"1835",270
"1836",375
"1837",290
"1838",160
"1839",350
"1840",360
"1841",500
"1842",260
"1843",300
"1844",190
"1845",385
"1846",425
"1847",260
"1848",330
"1849",260
"1850",340
"1851",355
"1852",420
"1853",245
"1854",490
"1855",260
"1856",410
"1857",375
"1858",205
"1859",375
"1860",300
"1861",280
"1862",380
"1863",380
"1864",185
"1865",210
"1866",215
"1867",385
"1868",320
"1869",365
"1870",290
"1871",360
"1872",450
"1873",320
"1874",400
"1875",260
"1876",310
"1877",490
"1878",355
"1879",380
"1880",420
"1881",320
"1882",390
"1883",290
"1884",550
"1885",265
"1886",320
"1887",260
"1888",285
"1889",290
"1890",215
"1891",450
"1892",300
"1893",350
"1894",280
"1895",390
"1896",350
"1897",380
"1898",260
"1899",380
"1900",280
"1901",270
"1902",230
"1903",360
"1904",180
"1905",410
"1906",300
"1907",360
"1908",390
"1909",270
"1910",225
"1911",380
"1912",295
"1913",490
"1914",405
"1915",280
"1916",320
"1917",190
"1918",260
"1919",320
"1920",385
"1921",285
"1922",170
"1923",270
"1924",300
"1925",290
"1926",260
"1927",415
"1928",275
"1929",230
"1930",405
"1931",260
"1932",260
"1933",380
"1934",435
"1935",450
"1936",450
"1937",550
"1938",450
"1939",285
"1940",245
"1941",360
"1942",355
"1943",390
"1944",245
"1945",195
"1946",380
"1947",265
"1948",380
"1949",350
"1950",395
"1951",230
"1952",270
"1953",375
"1954",290
"1955",180
"1956",270
"1957",550
"1958",220
"1959",360
"1960",290
"1961",230
"1962",275
"1963",330
"1964",360
"1965",395
"1966",415
"1967",290
"1968",550
"1969",470
"1970",380
"1971",370
"1972",300
"1973",345
"1974",350
"1975",285
"1976",450
"1977",330
"1978",225
"1979",300
"1980",170
"1981",245
"1982",385
"1983",335
"1984",420
"1985",490
"1986",345
"1987",190
"1988",360
"1989",260
"1990",270
"1991",385
"1992",760
"1993",300
"1994",440
"1995",350
"1996",265
"1997",300
"1998",350
"1999",490
"2000",310
"2001",355
"2002",350
"2003",430
"2004",585
"2005",300
"2006",300
"2007",450
"2008",270
"2009",320
"2010",300
"2011",220
"2012",190
"2013",300
"2014",175
"2015",415
"2016",360
"2017",270
"2018",385
"2019",360
"2020",345
"2021",635
"2022",385
"2023",245
"2024",335
"2025",260
"2026",320
"2027",640
"2028",260
"2029",225
"2030",340
"2031",300
"2032",280
"2033",375
"2034",350
"2035",450
"2036",405
"2037",325
"2038",395
"2039",320
"2040",300
"2041",300
"2042",185
"2043",275
"2044",375
"2045",350
"2046",170
"2047",230
"2048",380
"2049",390
"2050",260
"2051",265
"2052",450
"2053",300
"2054",375
"2055",420
"2056",450
"2057",390
"2058",245
"2059",450
"2060",390
"2061",450
"2062",640
"2063",380
"2064",260
"2065",380
"2066",410
"2067",340
"2068",290
"2069",310
"2070",350
"2071",320
"2072",260
"2073",320
"2074",230
"2075",350
"2076",260
"2077",350
"2078",420
"2079",310
"2080",420
"2081",170
"2082",260
"2083",205
"2084",200
"2085",295
"2086",435
"2087",295
"2088",160
"2089",380
"2090",500
"2091",415
"2092",260
"2093",420
"2094",265
"2095",390
"2096",350
"2097",360
"2098",385
"2099",190
"2100",260
"2101",385
"2102",320
"2103",260
"2104",170
"2105",310
"2106",380
"2107",295
"2108",175
"2109",390
"2110",220
"2111",385
"2112",200
"2113",350
"2114",410
"2115",270
"2116",325
"2117",260
"2118",380
"2119",260
"2120",450
"2121",180
"2122",435
"2123",260
"2124",340
"2125",345
"2126",260
"2127",415
"2128",370
"2129",390
"2130",450
"2131",450
"2132",380
"2133",200
"2134",500
"2135",270
"2136",260
"2137",270
"2138",405
"2139",360
"2140",300
"2141",350
"2142",340
"2143",175
"2144",350
"2145",410
"2146",400
"2147",260
"2148",360
"2149",435
"2150",220
"2151",350
"2152",260
"2153",290
"2154",300
"2155",385
"2156",380
"2157",270
"2158",270
"2159",520
"2160",300
"2161",300
"2162",295
"2163",260
"2164",550
"2165",360
"2166",345
"2167",185
"2168",375
"2169",550
"2170",300
"2171",320
"2172",300
"2173",260
"2174",380
"2175",380
"2176",390
"2177",190
"2178",470
"2179",700
"2180",310
"2181",405
"2182",265
"2183",345
"2184",420
"2185",325
"2186",375
"2187",320
"2188",390
"2189",195
"2190",335
"2191",220
"2192",355
"2193",490
"2194",230
"2195",245
"2196",330
"2197",390
"2198",260
"2199",175
"2200",450
"2201",270
"2202",450
"2203",260
"2204",200
"2205",310
"2206",350
"2207",450
"2208",355
"2209",175
"2210",340
"2211",260
"2212",275
"2213",420
"2214",390
"2215",230
"2216",490
"2217",270
"2218",450
"2219",260
"2220",200
"2221",340
"2222",270
"2223",175
"2224",225
"2225",290
"2226",230
"2227",260
"2228",450
"2229",290
"2230",440
"2231",300
"2232",265
"2233",325
"2234",270
"2235",380
"2236",270
"2237",285
"2238",405
"2239",195
"2240",190
"2241",175
"2242",410
"2243",190
"2244",330
"2245",295
"2246",310
"2247",260
"2248",205
"2249",260
"2250",300
"2251",300
"2252",295
"2253",380
"2254",230
"2255",550
"2256",270
"2257",325
"2258",450
"2259",320
"2260",585
"2261",280
"2262",520
"2263",230
"2264",400
"2265",300
"2266",355
"2267",260
"2268",370
"2269",270
"2270",440
"2271",330
"2272",415
"2273",300
"2274",450
"2275",285
"2276",350
"2277",360
"2278",260
"2279",340
"2280",390
"2281",300
"2282",230
"2283",510
"2284",390
"2285",185
"2286",550
"2287",410
"2288",350
"2289",330
"2290",415
"2291",470
"2292",200
"2293",230
"2294",290
"2295",260
"2296",450
"2297",210
"2298",295
"2299",355
"2300",510
"2301",300
"2302",490
"2303",375
"2304",320
"2305",490
"2306",420
"2307",620
"2308",230
"2309",245
"2310",405
"2311",230
"2312",300
"2313",280
"2314",360
"2315",260
"2316",300
"2317",180
"2318",470
"2319",385
"2320",300
"2321",440
"2322",365
"2323",350
"2324",425
"2325",270
"2326",350
"2327",300
"2328",270
"2329",550
"2330",205
"2331",285
"2332",260
"2333",550
"2334",375
"2335",400
"2336",345
"2337",345
"2338",285
"2339",310
"2340",290
"2341",260
"2342",300
"2343",225
"2344",320
"2345",375
"2346",350
"2347",280
"2348",450
"2349",205
"2350",260
"2351",340
"2352",350
"2353",300
"2354",380
"2355",450
"2356",370
"2357",230
"2358",340
"2359",420
"2360",280
"2361",450
"2362",280
"2363",325
"2364",200
"2365",220
"2366",350
"2367",320
"2368",190
"2369",410
"2370",350
"2371",275
"2372",380
"2373",225
"2374",345
"2375",230
"2376",220
"2377",270
"2378",230
"2379",310
"2380",260
"2381",350
"2382",310
"2383",335
"2384",385
"2385",380
"2386",425
"2387",180
"2388",440
"2389",320
"2390",265
"2391",200
"2392",195
"2393",200
"2394",415
"2395",260
"2396",295
"2397",370
"2398",310
"2399",390
"2400",230
"2401",320
"2402",230
"2403",510
"2404",300
"2405",400
"2406",360
"2407",415
"2408",300
"2409",275
"2410",275
"2411",260
"2412",170
"2413",380
"2414",300
"2415",390
"2416",350
"2417",390
"2418",200
"2419",380
"2420",290
"2421",195
"2422",210
"2423",410
"2424",200
"2425",280
"2426",245
"2427",170
"2428",400
"2429",350
"2430",585
"2431",500
"2432",355
"2433",320
"2434",430
"2435",170
"2436",300
"2437",450
"2438",265
"2439",260
"2440",220
"2441",300
"2442",320
"2443",585
"2444",295
"2445",420
"2446",260
"2447",320
"2448",360
"2449",285
"2450",280
"2451",390
"2452",200
"2453",385
"2454",420
"2455",300
"2456",410
"2457",230
"2458",220
"2459",320
"2460",285
"2461",270
"2462",270
"2463",450
"2464",230
"2465",230
"2466",370
"2467",300
"2468",300
"2469",415
"2470",350
"2471",405
"2472",410
"2473",230
"2474",395
"2475",170
"2476",390
"2477",350
"2478",620
"2479",230
"2480",175
"2481",340
"2482",270
"2483",220
"2484",260
"2485",360
"2486",300
"2487",380
"2488",220
"2489",280
"2490",585
"2491",230
"2492",300
"2493",450
"2494",450
"2495",190
"2496",300
"2497",350
"2498",380
